País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Túnez,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4019.59666002024
Túnez,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3067.0230369649
Túnez,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2136.27988454217
Túnez,No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1046.02721342834
Túnez,España,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,678.923580394097
Túnez,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3034.07778214294
Túnez,Francia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2570.44073463371
Túnez,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2338.3523822802
Túnez,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1470.88262591595
Túnez,Turquía,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1215.40269312776
Túnez,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),1094.48749195474
Túnez,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),993.494197232959
Túnez,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),377.890849186
Túnez,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),471.429628378112
Túnez,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),7841.98507696581
Túnez,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),1195.07830788817
