País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Turquía,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,19311.022742
Turquía,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,14721.81741
Turquía,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,13703.694821
Turquía,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,11473.020914
Turquía,Iraq,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,11125.649808
Turquía,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,32238.051683
Turquía,Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,28959.361179
Turquía,Categorías especiales,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,24386.39525
Turquía,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,21726.304884
Turquía,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,13147.626993
Turquía,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),9439.693651
Turquía,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),32782.111521
Turquía,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),13472.436706
Turquía,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),28728.786218
Turquía,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),5587.562455
Turquía,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),15796.197075
Turquía,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),43757.694324
Turquía,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),12180.06432
Turquía,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),34455.306838
Turquía,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),63046.822392
Turquía,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),9659.713684
Turquía,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),1167.515458
Turquía,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),99754.1335970001
Turquía,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),3219.228169
Turquía,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),4583.133703
Turquía,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),15774.278849
Turquía,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),819.355987
Turquía,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),9210.826422
Turquía,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),8506.56199
Turquía,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),35605.963841
Turquía,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),93305.5586850001
Turquía,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),63714.677848
Turquía,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),47409.153953
Turquía,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),32937.711224
Turquía,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),225214.458038
Turquía,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),271425.552445
Turquía,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),145663560.139
Turquía,...,2021,...,Aranceles,N.o de acuerdos arancelarios,29
Turquía,...,2021,...,Importación,Número de asociados importadores,219
Turquía,...,2021,...,Importación,Número de productos importados,4434
Turquía,...,2021,...,Exportación,Número de asociados exportadores,224
Turquía,...,2021,...,Exportación,Número de productos exportados,4397
Turquía,...,2016,...,Others,LPI Score,3.423693
Turquía,...,2019,...,Others,Trading Across Borders Rank,44
Turquía,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0731937
Turquía,...,2019,...,Others,Ease of Doing Business Rank,33
Turquía,...,2013,...,Others,No Of NTM Affected Products (HS 6 Digit),203
Turquía,...,2013,...,Others,No Of NTM Measures,2
Turquía,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0964647
Turquía,...,,...,Others,Services Trade Restrictions Index - Over All,25
Turquía,...,2013,...,Others,Temporary Trade Barriers in Effect - Weighted Average,2.01877737
Turquía,...,2018,...,Others,Population,82319724
Turquía,...,2016,...,Others,LPI Rank,34
Turquía,...,2013,...,Others,Temporary Trade Barriers in Effect - Simple Average,4.068190575
Turquía,Alemania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.5745
Turquía,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.5368
Turquía,Reino Unido,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.0847
Turquía,Italia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.0943
Turquía,Iraq,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.94
Turquía,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,11.8773
Turquía,Federación de Rusia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.6694
Turquía,Categorías especiales,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.9846
Turquía,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.0045
