País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Tuvalu,Fiji,2005,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.04855
Tuvalu,Nueva Zelandia,2005,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.011095
Tuvalu,Indonesia,2005,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.001522
Tuvalu,Australia,2005,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.001264
Tuvalu,Australia,2005,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4.351775
Tuvalu,Fiji,2005,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2.543399
Tuvalu,Singapur,2005,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2.260214
Tuvalu,Nueva Zelandia,2005,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1.281728
Tuvalu,China,2005,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,0.66312
Tuvalu,Mundo,2005,Plástico o caucho,Exportación,Exportaciones (en millones de US $),
Tuvalu,Mundo,2005,Transporte,Exportación,Exportaciones (en millones de US $),0.007089
Tuvalu,Mundo,2005,Productos químicos,Exportación,Exportaciones (en millones de US $),0.000898
Tuvalu,Mundo,2005,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),0.011704
Tuvalu,Mundo,2005,Reino vegetal,Exportación,Exportaciones (en millones de US $),
Tuvalu,Mundo,2005,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),
Tuvalu,Mundo,2005,Bienes intermedios,Exportación,Exportaciones (en millones de US $),
Tuvalu,Mundo,2005,Reino animal,Exportación,Exportaciones (en millones de US $),
Tuvalu,Mundo,2005,Madera,Exportación,Exportaciones (en millones de US $),0.007612
Tuvalu,Mundo,2005,Materias primas,Exportación,Exportaciones (en millones de US $),
Tuvalu,Mundo,2005,Cueros y pieles,Exportación,Exportaciones (en millones de US $),
Tuvalu,Mundo,2005,Varios,Exportación,Exportaciones (en millones de US $),0.022671
Tuvalu,Mundo,2005,Productos alimenticios,Exportación,Exportaciones (en millones de US $),
Tuvalu,Mundo,2005,Calzado,Exportación,Exportaciones (en millones de US $),
Tuvalu,Mundo,2005,Bienes de consumo,Exportación,Exportaciones (en millones de US $),0.01495
Tuvalu,Mundo,2005,Minerales,Exportación,Exportaciones (en millones de US $),
Tuvalu,Mundo,2005,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.000175
Tuvalu,Mundo,2005,Bienes de capital,Exportación,Exportaciones (en millones de US $),0.014218
Tuvalu,Mundo,2005,Combustibles,Exportación,Exportaciones (en millones de US $),0.004472
Tuvalu,Mundo,2005,Metales,Exportación,Exportaciones (en millones de US $),0.00781
Tuvalu,Mundo,2005,Bienes intermedios,Importación,Importaciones (en millones de US $),1.006504
Tuvalu,Mundo,2005,Bienes de consumo,Importación,Importaciones (en millones de US $),6.466611
Tuvalu,Mundo,2005,Materias primas,Importación,Importaciones (en millones de US $),0.830948
Tuvalu,Mundo,2005,Bienes de capital,Importación,Importaciones (en millones de US $),1.4094
Tuvalu,Mundo,2005,Todos los productos,Exportación,Exportaciones (en millones de US $),0.062431
Tuvalu,Mundo,2005,Todos los productos,Importación,Importaciones (en millones de US $),12.901871
Tuvalu,...,2005,...,Importación,Número de asociados importadores,28
Tuvalu,...,2005,...,Importación,Número de productos importados,525
Tuvalu,...,2005,...,Exportación,Número de asociados exportadores,4
Tuvalu,...,2005,...,Exportación,Número de productos exportados,34
Tuvalu,...,2018,...,Others,CPIA Trade Ratings,3.5
Tuvalu,...,2018,...,Others,Population,11508
Tuvalu,Fiji,2005,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,77.7659
Tuvalu,Nueva Zelandia,2005,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,17.7716
Tuvalu,Indonesia,2005,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.4379
Tuvalu,Australia,2005,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.0246
