País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Tanzanía,Emiratos Árabes Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1051.73417894194
Tanzanía,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1008.69390678
Tanzanía,Sudáfrica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,916.6746845
Tanzanía,Suiza,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,526.94484031
Tanzanía,Kenya,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,397.224787146662
Tanzanía,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2696.19406471
Tanzanía,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1359.50660056
Tanzanía,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1209.5178372013
Tanzanía,Arabia Saudita,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,674.116983
Tanzanía,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,469.0057569326
Tanzanía,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),68.59220394
Tanzanía,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),145.394947814812
Tanzanía,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),203.816519018746
Tanzanía,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),172.48832029
Tanzanía,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),1604.04596887524
Tanzanía,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),323.67575787214
Tanzanía,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),22.23955942
Tanzanía,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),970.151054127282
Tanzanía,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),247.54919211
Tanzanía,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),3066.33792947
Tanzanía,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),101.699565053708
Tanzanía,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),213.277303627976
Tanzanía,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),48.8720318307039
Tanzanía,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),68.4576538486007
Tanzanía,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),42.58220437
Tanzanía,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),6.36630901
Tanzanía,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),19.6034473749391
Tanzanía,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),1493.08292939573
Tanzanía,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),248.52657735
Tanzanía,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),3714.96629868742
Tanzanía,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),3101.44232383
Tanzanía,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),4777.3911886413
Tanzanía,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),2670.4929846026
Tanzanía,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),320.48810246
Tanzanía,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),6390.86288674364
Tanzanía,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),10873.2641335339
Tanzanía,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),4738369.45327
Tanzanía,...,2021,...,Aranceles,N.o de acuerdos arancelarios,4
Tanzanía,...,2021,...,Importación,Número de asociados importadores,189
Tanzanía,...,2021,...,Importación,Número de productos importados,3862
Tanzanía,...,2021,...,Exportación,Número de asociados exportadores,140
Tanzanía,...,2021,...,Exportación,Número de productos exportados,2455
Tanzanía,...,2018,...,Others,Population,56318348
Tanzanía,...,2019,...,Others,Ease of Doing Business Rank,141
Tanzanía,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.5410065
Tanzanía,...,2019,...,Others,Trading Across Borders Rank,182
