País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Uganda,Emiratos Árabes Unidos,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1844.838894
Uganda,Kenya,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,465.547821
Uganda,Sudán del Sur,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,357.3391
Uganda,"Congo, Rep. Dem. del",2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,267.18595
Uganda,Italia,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,138.052359
Uganda,China,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1351.952033
Uganda,India,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,959.110452
Uganda,Kenya,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,773.23042
Uganda,Tanzanía,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,743.682318
Uganda,Emiratos Árabes Unidos,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,495.865802
Uganda,Mundo,2020,Productos alimenticios,Exportación,Exportaciones (en millones de US $),372.646348
Uganda,Mundo,2020,Calzado,Exportación,Exportaciones (en millones de US $),8.069795
Uganda,Mundo,2020,Bienes de consumo,Exportación,Exportaciones (en millones de US $),637.671644
Uganda,Mundo,2020,Minerales,Exportación,Exportaciones (en millones de US $),76.416001
Uganda,Mundo,2020,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),1835.265564
Uganda,Mundo,2020,Bienes de capital,Exportación,Exportaciones (en millones de US $),62.405008
Uganda,Mundo,2020,Combustibles,Exportación,Exportaciones (en millones de US $),98.572556
Uganda,Mundo,2020,Metales,Exportación,Exportaciones (en millones de US $),108.648123
Uganda,Mundo,2020,Reino vegetal,Exportación,Exportaciones (en millones de US $),1046.409665
Uganda,Mundo,2020,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),60.289109
Uganda,Mundo,2020,Bienes intermedios,Exportación,Exportaciones (en millones de US $),2405.237021
Uganda,Mundo,2020,Plástico o caucho,Exportación,Exportaciones (en millones de US $),43.769213
Uganda,Mundo,2020,Transporte,Exportación,Exportaciones (en millones de US $),57.951982
Uganda,Mundo,2020,Cueros y pieles,Exportación,Exportaciones (en millones de US $),10.456332
Uganda,Mundo,2020,Varios,Exportación,Exportaciones (en millones de US $),13.284888
Uganda,Mundo,2020,Productos químicos,Exportación,Exportaciones (en millones de US $),104.822162
Uganda,Mundo,2020,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),29.031614
Uganda,Mundo,2020,Reino animal,Exportación,Exportaciones (en millones de US $),214.662977
Uganda,Mundo,2020,Madera,Exportación,Exportaciones (en millones de US $),68.662
Uganda,Mundo,2020,Materias primas,Exportación,Exportaciones (en millones de US $),1039.030901
Uganda,Mundo,2020,Bienes de consumo,Importación,Importaciones (en millones de US $),2827.985321
Uganda,Mundo,2020,Bienes intermedios,Importación,Importaciones (en millones de US $),3661.052641
Uganda,Mundo,2020,Bienes de capital,Importación,Importaciones (en millones de US $),1378.521611
Uganda,Mundo,2020,Materias primas,Importación,Importaciones (en millones de US $),353.979653
Uganda,Mundo,2020,Todos los productos,Exportación,Exportaciones (en millones de US $),4148.958329
Uganda,Mundo,2020,Todos los productos,Importación,Importaciones (en millones de US $),8250.512382
Uganda,Mundo,2020,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),4462044.074
Uganda,...,2020,...,Aranceles,N.o de acuerdos arancelarios,5
Uganda,...,2020,...,Importación,Número de asociados importadores,158
Uganda,...,2020,...,Importación,Número de productos importados,3825
Uganda,...,2020,...,Exportación,Número de asociados exportadores,132
Uganda,...,2020,...,Exportación,Número de productos exportados,2110
Uganda,...,2018,...,Others,Population,42723139
Uganda,...,2018,...,Others,CPIA Trade Ratings,4.5
Uganda,...,2016,...,Others,LPI Rank,58
Uganda,...,2016,...,Others,LPI Score,3.043284
Uganda,...,2019,...,Others,Ease of Doing Business Rank,116
Uganda,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1286412
Uganda,...,,...,Others,Services Trade Restrictions Index - Over All,34.5
Uganda,...,2019,...,Others,Trading Across Borders Rank,121
Uganda,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0826278
Uganda,Emiratos Árabes Unidos,2020,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,44.4651
Uganda,Kenya,2020,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,11.2208
Uganda,Sudán del Sur,2020,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.6127
Uganda,"Congo, Rep. Dem. del",2020,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.4398
Uganda,Italia,2020,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.3274
Uganda,China,2020,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,16.3863
Uganda,India,2020,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,11.6249
Uganda,Kenya,2020,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,9.3719
Uganda,Tanzanía,2020,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,9.0138
Uganda,Emiratos Árabes Unidos,2020,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.0101
Uganda,Mundo,2020,Reino vegetal,Exportación,Exportaciones - Product share(en %),25.221
Uganda,Mundo,2020,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),1.4531
Uganda,Mundo,2020,Bienes intermedios,Exportación,Exportaciones - Product share(en %),57.9721
Uganda,Mundo,2020,Productos alimenticios,Exportación,Exportaciones - Product share(en %),8.9817
Uganda,Mundo,2020,Calzado,Exportación,Exportaciones - Product share(en %),0.1945
Uganda,Mundo,2020,Bienes de consumo,Exportación,Exportaciones - Product share(en %),15.3694
Uganda,Mundo,2020,Combustibles,Exportación,Exportaciones - Product share(en %),2.3758
Uganda,Mundo,2020,Metales,Exportación,Exportaciones - Product share(en %),2.6187
Uganda,Mundo,2020,Minerales,Exportación,Exportaciones - Product share(en %),1.8418
Uganda,Mundo,2020,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),44.2344
Uganda,Mundo,2020,Bienes de capital,Exportación,Exportaciones - Product share(en %),1.5041
Uganda,Mundo,2020,Productos químicos,Exportación,Exportaciones - Product share(en %),2.5265
Uganda,Mundo,2020,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),0.6997
Uganda,Mundo,2020,Plástico o caucho,Exportación,Exportaciones - Product share(en %),1.0549
Uganda,Mundo,2020,Transporte,Exportación,Exportaciones - Product share(en %),1.3968
Uganda,Mundo,2020,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.252
Uganda,Mundo,2020,Varios,Exportación,Exportaciones - Product share(en %),0.3202
Uganda,Mundo,2020,Reino animal,Exportación,Exportaciones - Product share(en %),5.1739
Uganda,Mundo,2020,Madera,Exportación,Exportaciones - Product share(en %),1.6549
Uganda,Mundo,2020,Materias primas,Exportación,Exportaciones - Product share(en %),25.0432
Uganda,Mundo,2020,Bienes intermedios,Importación,Importaciones - Product share(en %),44.3736
Uganda,Mundo,2020,Bienes de consumo,Importación,Importaciones - Product share(en %),34.2765
Uganda,Mundo,2020,Bienes de capital,Importación,Importaciones - Product share(en %),16.7083
Uganda,Mundo,2020,Materias primas,Importación,Importaciones - Product share(en %),4.2904
Uganda,Mundo,2020,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),14.6595929297195
Uganda,Mundo,2020,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),3.68657157012757
Uganda,Mundo,2020,Materias primas,Aranceles,Promedio ponderado de aranceles (%),6.02998838426072
Uganda,Mundo,2020,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),6.43364708652852
Uganda,Mundo,2020,Todos los productos,Trade Indicator,Crecimiento mundial (%),-3.74697080682465
Uganda,Mundo,2020,Todos los productos,Trade Indicator,Crecimiento del país (%),-2.44535709009996
Uganda,Mundo,2020,Todos los productos,Aranceles,Promedio simple de aranceles (%),13.2420818162657
Uganda,Mundo,2020,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),8.09392826110798
Uganda,Mundo,2020,Todos los productos,Aranceles,Tasa máxima de aranceles (%),100
Uganda,Mundo,2020,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),38.9195408310018
Uganda,...,2020,...,Trade Indicator,Índice de penetración en el mercado de exportación,2.13366222544136
Uganda,...,2020,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.30730386546622
