País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Ucrania,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7992.49176591
Ucrania,Polonia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4979.1346999
Ucrania,Turquía,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3999.6179273
Ucrania,Federación de Rusia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3349.11952111
Ucrania,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3240.25559885
Ucrania,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,10637.83447288
Ucrania,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,6068.1122577
Ucrania,Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5850.09268746
Ucrania,Polonia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4894.8238515
Ucrania,Belarús,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4706.52555653
Ucrania,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),1072.61555419
Ucrania,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),677.28957769
Ucrania,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),167.37511973
Ucrania,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),1562.40613967
Ucrania,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),7555.55074259
Ucrania,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),665.44061043
Ucrania,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),3567.97071375
Ucrania,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),3765.3543532
Ucrania,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),187.74081644
