País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Uruguay,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2598.26136
Uruguay,Brasil,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1742.459379
Uruguay,Zonas francas,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1196.329348
Uruguay,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,542.580143
Uruguay,Argentina,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,468.532486
Uruguay,Brasil,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2059.9872952
Uruguay,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1997.32173432
Uruguay,Argentina,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1309.92943885
Uruguay,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,929.693086719999
Uruguay,Nigeria,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,409.66517204
Uruguay,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),539.10125
Uruguay,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),82.68398
Uruguay,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),2108.893781
Uruguay,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),203.814807
Uruguay,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),2487.032297
Uruguay,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),238.553879
Uruguay,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.22723
Uruguay,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),1284.891244
Uruguay,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),314.973549
Uruguay,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),194.137991
Uruguay,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),426.881621
Uruguay,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),90.254031
Uruguay,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),26.336242
Uruguay,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),45.055827
Uruguay,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),352.798895
Uruguay,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),158.666649
Uruguay,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),68.30351
Uruguay,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),3968.639183
Uruguay,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),1074.496759
Uruguay,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),5416.19777
Uruguay,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),2581.49177088
Uruguay,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),3500.62027591001
Uruguay,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),1800.81187161
Uruguay,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),2436.72372296
Uruguay,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),9541.020289
Uruguay,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),10320.34945372
Uruguay,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),3882327.14162
Uruguay,...,2021,...,Aranceles,N.o de acuerdos arancelarios,58
Uruguay,...,2021,...,Importación,Número de asociados importadores,162
Uruguay,...,2021,...,Importación,Número de productos importados,3810
Uruguay,...,2021,...,Exportación,Número de asociados exportadores,161
Uruguay,...,2021,...,Exportación,Número de productos exportados,1751
Uruguay,...,2018,...,Others,Population,3449299
Uruguay,...,2016,...,Others,LPI Score,2.974545
Uruguay,...,2016,...,Others,LPI Rank,65
Uruguay,...,2019,...,Others,Ease of Doing Business Rank,101
Uruguay,...,2014,...,Others,No Of NTM Affected Products (HS 6 Digit),3077
Uruguay,...,2014,...,Others,No Of NTM Measures,62
Uruguay,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1371326
Uruguay,...,2019,...,Others,Trading Across Borders Rank,150
Uruguay,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1060569
Uruguay,...,,...,Others,Services Trade Restrictions Index - Over All,28.4
Uruguay,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,27.2325
Uruguay,Brasil,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,18.2628
Uruguay,Zonas francas,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,12.5388
Uruguay,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.6868
Uruguay,Argentina,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.9107
Uruguay,Brasil,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,19.9604
Uruguay,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,19.3532
Uruguay,Argentina,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,12.6927
Uruguay,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,9.0083
