País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Estados Unidos,Canadá,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,306926.753196
Estados Unidos,México,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,276458.852053
Estados Unidos,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,151065.177394
Estados Unidos,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,74960.699147
Estados Unidos,"Corea, Rep. de",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,65769.493507
Estados Unidos,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,541531.352242
Estados Unidos,México,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,388357.522055
Estados Unidos,Canadá,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,363904.687514
Estados Unidos,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,139389.676627
Estados Unidos,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,138194.629531
Estados Unidos,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),91825.56407
Estados Unidos,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),25593.626273
Estados Unidos,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),371217.942973
Estados Unidos,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),35868.899295
Estados Unidos,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),39734.251756
Estados Unidos,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),246705.651677
Estados Unidos,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),49386.308615
Estados Unidos,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),1683.881404
Estados Unidos,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),475384.272473
Estados Unidos,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),14682.537155
Estados Unidos,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),89885.722303
Estados Unidos,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),528779.38311
Estados Unidos,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),87919.190167
Estados Unidos,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),216273.476989
Estados Unidos,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),212136.223572
Estados Unidos,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),375506.250369
Estados Unidos,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),3442.44807
Estados Unidos,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),194008.38721
Estados Unidos,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),239780.823659
Estados Unidos,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),75409.117199
Estados Unidos,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),496517.870030999
