País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
San Vicente y las Granadinas,Barbados,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,5.74582368684677
San Vicente y las Granadinas,Santa Lucía,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,5.66255727952263
San Vicente y las Granadinas,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,5.06010985790285
San Vicente y las Granadinas,Dominica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3.60684260009686
San Vicente y las Granadinas,Antigua y Barbuda,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3.42121905213434
San Vicente y las Granadinas,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,174.225625018367
San Vicente y las Granadinas,Trinidad y Tobago,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,34.9124817317542
San Vicente y las Granadinas,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,24.3985652793051
San Vicente y las Granadinas,Reino Unido,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,24.2310308646579
San Vicente y las Granadinas,Canadá,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,7.7249168070899
San Vicente y las Granadinas,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.464388199535612
San Vicente y las Granadinas,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),1.52713835773212
San Vicente y las Granadinas,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),0.01462777776315
San Vicente y las Granadinas,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),3.23130938565759
San Vicente y las Granadinas,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),0.0006602074067472
San Vicente y las Granadinas,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.658368473415706
San Vicente y las Granadinas,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),2.73998600837113
