País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Venezuela,No especificados ,2013,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,57806.5087
Venezuela,"Otra zona de Asia, no esp.",2013,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,28056.144279
Venezuela,Estados Unidos,2013,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,550.147832
Venezuela,China,2013,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,254.069459
Venezuela,Colombia,2013,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,236.363628
Venezuela,Estados Unidos,2013,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,10487.655403
Venezuela,China,2013,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,7645.215416
Venezuela,Brasil,2013,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4503.094498
Venezuela,Colombia,2013,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2257.918272
Venezuela,México,2013,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2231.987703
Venezuela,Mundo,2013,Combustibles,Exportación,Exportaciones (en millones de US $),85918.587943
Venezuela,Mundo,2013,Metales,Exportación,Exportaciones (en millones de US $),448.337191
Venezuela,Mundo,2013,Productos alimenticios,Exportación,Exportaciones (en millones de US $),20.909888
Venezuela,Mundo,2013,Calzado,Exportación,Exportaciones (en millones de US $),0.562627
Venezuela,Mundo,2013,Bienes de consumo,Exportación,Exportaciones (en millones de US $),11093.896752
Venezuela,Mundo,2013,Minerales,Exportación,Exportaciones (en millones de US $),274.039565
Venezuela,Mundo,2013,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),14.160514
Venezuela,Mundo,2013,Bienes de capital,Exportación,Exportaciones (en millones de US $),173.501132
Venezuela,Mundo,2013,Reino vegetal,Exportación,Exportaciones (en millones de US $),11.718298
Venezuela,Mundo,2013,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),2.198145
Venezuela,Mundo,2013,Bienes intermedios,Exportación,Exportaciones (en millones de US $),1495.47645
Venezuela,Mundo,2013,Plástico o caucho,Exportación,Exportaciones (en millones de US $),36.042517
Venezuela,Mundo,2013,Transporte,Exportación,Exportaciones (en millones de US $),109.040382
Venezuela,Mundo,2013,Cueros y pieles,Exportación,Exportaciones (en millones de US $),24.605897
Venezuela,Mundo,2013,Varios,Exportación,Exportaciones (en millones de US $),33.006179
Venezuela,Mundo,2013,Productos químicos,Exportación,Exportaciones (en millones de US $),995.37302
Venezuela,Mundo,2013,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),62.508474
Venezuela,Mundo,2013,Reino animal,Exportación,Exportaciones (en millones de US $),5.552697
Venezuela,Mundo,2013,Madera,Exportación,Exportaciones (en millones de US $),4.569967
Venezuela,Mundo,2013,Materias primas,Exportación,Exportaciones (en millones de US $),75181.299001
Venezuela,Mundo,2013,Bienes intermedios,Importación,Importaciones (en millones de US $),12247.318232
Venezuela,Mundo,2013,Bienes de consumo,Importación,Importaciones (en millones de US $),11468.596256
Venezuela,Mundo,2013,Bienes de capital,Importación,Importaciones (en millones de US $),13621.216898
Venezuela,Mundo,2013,Materias primas,Importación,Importaciones (en millones de US $),3972.848458
Venezuela,Mundo,2013,Todos los productos,Exportación,Exportaciones (en millones de US $),87961.213304
Venezuela,Mundo,2013,Todos los productos,Importación,Importaciones (en millones de US $),44951.787132
Venezuela,Mundo,2013,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),8532281.501
Venezuela,...,2013,...,Aranceles,N.o de acuerdos arancelarios,53
Venezuela,...,2013,...,Importación,Número de asociados importadores,170
Venezuela,...,2013,...,Importación,Número de productos importados,4210
Venezuela,...,2013,...,Exportación,Número de asociados exportadores,80
Venezuela,...,2013,...,Exportación,Número de productos exportados,1628
Venezuela,...,2018,...,Others,Population,28870195
Venezuela,...,2019,...,Others,Ease of Doing Business Rank,188
Venezuela,...,2014,...,Others,No Of NTM Affected Products (HS 6 Digit),3973
Venezuela,...,2014,...,Others,No Of NTM Measures,39
Venezuela,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.2121515
Venezuela,...,2019,...,Others,Trading Across Borders Rank,188
Venezuela,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1438589
Venezuela,...,2016,...,Others,LPI Score,2.39078
Venezuela,...,2016,...,Others,LPI Rank,122
Venezuela,...,,...,Others,Services Trade Restrictions Index - Over All,35
Venezuela,No especificados ,2013,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,65.7182
Venezuela,"Otra zona de Asia, no esp.",2013,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,31.896
Venezuela,Estados Unidos,2013,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,0.6254
Venezuela,China,2013,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,0.2888
Venezuela,Colombia,2013,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,0.2687
Venezuela,Estados Unidos,2013,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,23.3309
Venezuela,China,2013,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,17.0076
Venezuela,Brasil,2013,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.0176
Venezuela,Colombia,2013,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.023
Venezuela,México,2013,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.9653
Venezuela,Mundo,2013,Reino animal,Exportación,Exportaciones - Product share(en %),0.0063
Venezuela,Mundo,2013,Madera,Exportación,Exportaciones - Product share(en %),0.0052
Venezuela,Mundo,2013,Materias primas,Exportación,Exportaciones - Product share(en %),85.471
Venezuela,Mundo,2013,Productos alimenticios,Exportación,Exportaciones - Product share(en %),0.0238
Venezuela,Mundo,2013,Calzado,Exportación,Exportaciones - Product share(en %),0.0006
Venezuela,Mundo,2013,Bienes de consumo,Exportación,Exportaciones - Product share(en %),12.6123
Venezuela,Mundo,2013,Minerales,Exportación,Exportaciones - Product share(en %),0.3115
Venezuela,Mundo,2013,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),0.0161
Venezuela,Mundo,2013,Bienes de capital,Exportación,Exportaciones - Product share(en %),0.1972
Venezuela,Mundo,2013,Productos químicos,Exportación,Exportaciones - Product share(en %),1.1316
Venezuela,Mundo,2013,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),0.0711
Venezuela,Mundo,2013,Combustibles,Exportación,Exportaciones - Product share(en %),97.6778
Venezuela,Mundo,2013,Metales,Exportación,Exportaciones - Product share(en %),0.5097
Venezuela,Mundo,2013,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.028
Venezuela,Mundo,2013,Varios,Exportación,Exportaciones - Product share(en %),0.0375
Venezuela,Mundo,2013,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.041
Venezuela,Mundo,2013,Transporte,Exportación,Exportaciones - Product share(en %),0.124
Venezuela,Mundo,2013,Reino vegetal,Exportación,Exportaciones - Product share(en %),0.0133
Venezuela,Mundo,2013,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.0025
Venezuela,Mundo,2013,Bienes intermedios,Exportación,Exportaciones - Product share(en %),1.7002
Venezuela,Mundo,2013,Bienes de consumo,Importación,Importaciones - Product share(en %),25.5131
Venezuela,Mundo,2013,Bienes de capital,Importación,Importaciones - Product share(en %),30.3018
Venezuela,Mundo,2013,Materias primas,Importación,Importaciones - Product share(en %),8.838
Venezuela,Mundo,2013,Bienes intermedios,Importación,Importaciones - Product share(en %),27.2455
Venezuela,Mundo,2013,Materias primas,Aranceles,Promedio ponderado de aranceles (%),5.42271395403827
Venezuela,Mundo,2013,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),9.15384718245912
Venezuela,Mundo,2013,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),7.46950573349498
Venezuela,Mundo,2013,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),10.5636900299608
Venezuela,Mundo,2013,Todos los productos,Trade Indicator,Crecimiento mundial (%),1.18063513290667
Venezuela,Mundo,2013,Todos los productos,Trade Indicator,Crecimiento del país (%),-4.21797218426845
Venezuela,Mundo,2013,Todos los productos,Aranceles,Promedio simple de aranceles (%),11.6450789597354
