País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Viet Nam,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,96327.5394328458
Viet Nam,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,55922.8229337237
Viet Nam,"Corea, Rep. de",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,21934.4636173498
Viet Nam,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,20117.8917707822
Viet Nam,Hong Kong (China),2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,11985.1998656112
Viet Nam,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,109850.665773668
Viet Nam,"Corea, Rep. de",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,56112.234517325
Viet Nam,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,22601.5625714532
Viet Nam,"Otra zona de Asia, no esp.",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,20758.396202336
Viet Nam,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,15179.1207918992
Viet Nam,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),3067.9538441357
Viet Nam,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),26194.0086989349
Viet Nam,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),7565.6619984179
Viet Nam,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),18866.7792202652
Viet Nam,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),112802.197434644
Viet Nam,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),6004.6872241084
Viet Nam,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),155409.237178798
Viet Nam,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),13473.9671578308
Viet Nam,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),5298.0130645388
Viet Nam,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),6351.1509876239
Viet Nam,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),6893.5698977313
Viet Nam,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),20549.6552579286
Viet Nam,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),14754.9466413309
Viet Nam,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),41296.2047736405
Viet Nam,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),49911.582201564
Viet Nam,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),2126.5547051376
Viet Nam,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),3567.4283931551
Viet Nam,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),147613.324545866
Viet Nam,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),3292.658736134
Viet Nam,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),21629.7752882167
Viet Nam,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),93454.5086098144
Viet Nam,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),46211.5373138559
Viet Nam,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),39037.5577353268
Viet Nam,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),147564.185660556
Viet Nam,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),335792.59781
Viet Nam,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),330752.261349424
Viet Nam,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),206095852.056055
Viet Nam,...,2021,...,Aranceles,N.o de acuerdos arancelarios,20
Viet Nam,...,2021,...,Importación,Número de asociados importadores,97
Viet Nam,...,2021,...,Importación,Número de productos importados,4327
Viet Nam,...,2021,...,Exportación,Número de asociados exportadores,97
Viet Nam,...,2021,...,Exportación,Número de productos exportados,3740
Viet Nam,...,2019,...,Others,Trading Across Borders Rank,104
Viet Nam,...,2015,...,Others,CPIA Trade Ratings,4
Viet Nam,...,2016,...,Others,LPI Score,2.976629
Viet Nam,...,2016,...,Others,LPI Rank,64
Viet Nam,...,,...,Others,Services Trade Restrictions Index - Over All,41.5
Viet Nam,...,2019,...,Others,Ease of Doing Business Rank,70
Viet Nam,...,2015,...,Others,No Of NTM Affected Products (HS 6 Digit),5204
Viet Nam,...,2015,...,Others,No Of NTM Measures,68
Viet Nam,...,2018,...,Others,Population,95540395
Viet Nam,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,28.6866
Viet Nam,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,16.654
Viet Nam,"Corea, Rep. de",2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.5321
Viet Nam,Japón,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.9912
Viet Nam,Hong Kong (China),2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.5692
Viet Nam,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,33.2124
Viet Nam,"Corea, Rep. de",2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,16.965
Viet Nam,Japón,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.8334
Viet Nam,"Otra zona de Asia, no esp.",2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.2761
Viet Nam,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.5893
Viet Nam,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),1.7882
Viet Nam,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),46.2813
Viet Nam,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),4.3941
Viet Nam,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),12.2981
Viet Nam,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),14.8638
Viet Nam,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),4.0126
Viet Nam,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),1.5778
Viet Nam,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),1.8914
Viet Nam,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),2.0529
Viet Nam,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),6.1197
Viet Nam,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.9136
Viet Nam,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),7.8007
Viet Nam,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),2.2531
Viet Nam,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),5.6186
Viet Nam,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),33.5928
