País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Vanuatu,Malasia,2011,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,12.991283
Vanuatu,Filipinas,2011,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,11.456848
Vanuatu,Nueva Zelandia,2011,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7.246193
Vanuatu,Australia,2011,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7.176109
Vanuatu,Fiji,2011,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,5.141331
Vanuatu,Australia,2011,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,83.268138
Vanuatu,Singapur,2011,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,51.06441
Vanuatu,Nueva Zelandia,2011,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,35.613483
Vanuatu,Fiji,2011,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,22.407378
Vanuatu,China,2011,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,19.431924
Vanuatu,Mundo,2011,Productos químicos,Exportación,Exportaciones (en millones de US $),3.415031
Vanuatu,Mundo,2011,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),0.828426
Vanuatu,Mundo,2011,Minerales,Exportación,Exportaciones (en millones de US $),0.000229
Vanuatu,Mundo,2011,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.021582
Vanuatu,Mundo,2011,Bienes de capital,Exportación,Exportaciones (en millones de US $),1.08096
Vanuatu,Mundo,2011,Reino vegetal,Exportación,Exportaciones (en millones de US $),37.163782
Vanuatu,Mundo,2011,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.008574
Vanuatu,Mundo,2011,Bienes intermedios,Exportación,Exportaciones (en millones de US $),21.839546
Vanuatu,Mundo,2011,Productos alimenticios,Exportación,Exportaciones (en millones de US $),6.130442
Vanuatu,Mundo,2011,Calzado,Exportación,Exportaciones (en millones de US $),1.2E-05
Vanuatu,Mundo,2011,Bienes de consumo,Exportación,Exportaciones (en millones de US $),4.466811
Vanuatu,Mundo,2011,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.039311
Vanuatu,Mundo,2011,Transporte,Exportación,Exportaciones (en millones de US $),0.224958
Vanuatu,Mundo,2011,Combustibles,Exportación,Exportaciones (en millones de US $),0.043752
Vanuatu,Mundo,2011,Metales,Exportación,Exportaciones (en millones de US $),1.109706
Vanuatu,Mundo,2011,Reino animal,Exportación,Exportaciones (en millones de US $),11.69695
Vanuatu,Mundo,2011,Madera,Exportación,Exportaciones (en millones de US $),0.873383
Vanuatu,Mundo,2011,Materias primas,Exportación,Exportaciones (en millones de US $),34.877693
Vanuatu,Mundo,2011,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.303988
Vanuatu,Mundo,2011,Varios,Exportación,Exportaciones (en millones de US $),1.671788
Vanuatu,Mundo,2011,Bienes intermedios,Importación,Importaciones (en millones de US $),34.880245
Vanuatu,Mundo,2011,Bienes de consumo,Importación,Importaciones (en millones de US $),184.412637
Vanuatu,Mundo,2011,Bienes de capital,Importación,Importaciones (en millones de US $),42.1519990000001
Vanuatu,Mundo,2011,Materias primas,Importación,Importaciones (en millones de US $),11.541337
Vanuatu,Mundo,2011,Todos los productos,Exportación,Exportaciones (en millones de US $),63.531915
Vanuatu,Mundo,2011,Todos los productos,Importación,Importaciones (en millones de US $),280.646739
Vanuatu,Mundo,2009,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),33886.717
Vanuatu,...,2009,...,Aranceles,N.o de acuerdos arancelarios,2
Vanuatu,...,2011,...,Importación,Número de asociados importadores,99
Vanuatu,...,2011,...,Importación,Número de productos importados,2984
Vanuatu,...,2011,...,Exportación,Número de asociados exportadores,52
Vanuatu,...,2011,...,Exportación,Número de productos exportados,390
Vanuatu,...,2018,...,Others,Population,292680
Vanuatu,...,2018,...,Others,CPIA Trade Ratings,4
Vanuatu,...,2019,...,Others,Ease of Doing Business Rank,107
Vanuatu,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1154532
Vanuatu,...,2019,...,Others,Trading Across Borders Rank,148
