País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Samoa,Nueva Zelandia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6.70565252053938
Samoa,Samoa Americana,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6.07512114581353
Samoa,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,5.37158779632233
Samoa,Australia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2.47947841709837
Samoa,Tokelau,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2.15910438341678
Samoa,Nueva Zelandia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,85.5820307510978
Samoa,Singapur,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,59.0443789635826
Samoa,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,49.5587757144333
Samoa,Australia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,40.4657071856645
Samoa,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,36.6969333538497
Samoa,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),3.13862690329094
Samoa,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),0.629610828959843
Samoa,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),8.78687134196491
Samoa,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.0811585501387875
Samoa,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),16.7225091590333
Samoa,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),0.079763080219506
Samoa,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.136826945459012
Samoa,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),3.00940320421701
Samoa,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),5.19129945184809
Samoa,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),0.483801844997574
Samoa,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),7.49165728352745
Samoa,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),0.469496141273835
Samoa,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),2.81449635824523
Samoa,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.133820860812501
Samoa,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),0.315733497141036
Samoa,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.0048803244329952
Samoa,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),0.229261833043692
Samoa,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),6.1228230762616
Samoa,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.218114422863923
Samoa,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),1.60991107503464
Samoa,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),65.2627419013033
Samoa,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),199.265576576403
Samoa,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),56.9593670593445
Samoa,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),46.529424303028
Samoa,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),28.8365854609535
Samoa,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),368.240215627964
Samoa,Mundo,2018,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),53076.4564431273
Samoa,...,2018,...,Aranceles,N.o de acuerdos arancelarios,1
Samoa,...,2021,...,Importación,Número de asociados importadores,70
Samoa,...,2021,...,Importación,Número de productos importados,2564
Samoa,...,2021,...,Exportación,Número de asociados exportadores,34
Samoa,...,2021,...,Exportación,Número de productos exportados,695
Samoa,...,2019,...,Others,Ease of Doing Business Rank,98
Samoa,...,2019,...,Others,Trading Across Borders Rank,154
Samoa,...,2018,...,Others,Population,196130
Samoa,...,2018,...,Others,CPIA Trade Ratings,4.5
Samoa,Nueva Zelandia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,23.254
Samoa,Samoa Americana,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,21.0674
Samoa,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,18.6277
Samoa,Australia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.5984
Samoa,Tokelau,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.4874
Samoa,Nueva Zelandia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,23.2408
Samoa,Singapur,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,16.0342
Samoa,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,13.4583
Samoa,Australia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.9889
Samoa,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,9.9655
Samoa,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),1.6281
Samoa,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),9.7602
Samoa,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.4641
Samoa,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),1.0949
Samoa,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),0.2766
Samoa,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),0.4745
Samoa,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),10.4361
Samoa,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),21.2328
Samoa,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.7564
Samoa,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),5.5829
Samoa,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),18.0025
Samoa,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),1.6777
Samoa,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),25.9797
Samoa,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),30.4713
Samoa,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.2814
Samoa,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),57.9906
Samoa,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),10.8842
Samoa,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),2.1834
Samoa,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0169
Samoa,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),0.795
Samoa,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),54.1129
Samoa,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),17.7229
Samoa,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),15.468
Samoa,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),12.6356
Samoa,Mundo,2018,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),11.6598388947519
Samoa,Mundo,2018,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),7.07137002814092
Samoa,Mundo,2018,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),8.15934360101121
Samoa,Mundo,2018,Materias primas,Aranceles,Promedio ponderado de aranceles (%),14.4893279001383
Samoa,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Samoa,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),-7.92863534571682
Samoa,Mundo,2018,Todos los productos,Aranceles,Promedio simple de aranceles (%),12.9291574282322
Samoa,Mundo,2018,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),10.8539456273869
Samoa,Mundo,2018,Todos los productos,Aranceles,Tasa máxima de aranceles (%),1054.92199707031
Samoa,Mundo,2018,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),5.37893251431892
Samoa,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,1.25578446309773
Samoa,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.109981739619843
