País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Mundo,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2827816.67993833
Mundo,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2158872.20125749
Mundo,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1353626.272538
Mundo,Hong Kong (China),2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,722556.780332745
Mundo,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,699721.38380835
Mundo,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3383435.78533985
Mundo,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1703893.33486657
Mundo,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1538830.19920205
Mundo,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,850187.993810186
Mundo,"Corea, Rep. de",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,731208.977991075
Mundo,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),2622131.92346193
Mundo,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),6387076.3120189
Mundo,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),1123952.03639123
Mundo,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),2263963.6722168
Mundo,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),138670.835357943
Mundo,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),2124740.55145899
Mundo,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),836788.244910613
Mundo,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),917754.841445739
Mundo,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),5370654.18611973
Mundo,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),817802.863507714
Mundo,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),193919.053588238
Mundo,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),7624588.14091812
Mundo,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),460044.092363145
Mundo,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),551140.31680986
Mundo,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),2620159.73444369
Mundo,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),447596.18311541
Mundo,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),1109086.18725979
Mundo,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),7781662.36969843
Mundo,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),2481603.7864386
Mundo,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),1751161.62567361
Mundo,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),4887511.2044381
Mundo,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),2884224.54729303
Mundo,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),6465424.1361382
Mundo,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),7085770.71270801
Mundo,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),24227432.5260185
Mundo,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),21931213.2230387
Mundo,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),32232.4966087509
Mundo,...,2021,...,Aranceles,N.o de acuerdos arancelarios,1859
