País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
"Yemen, Rep. del","Egipto, Rep. Árabe de",2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,11.7922830650478
"Yemen, Rep. del",Turquía,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6.66418249317348
"Yemen, Rep. del",Omán,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2.504850348294
"Yemen, Rep. del",Sudán,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2.22221556
"Yemen, Rep. del",Eritrea,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.2082863052
"Yemen, Rep. del",Emiratos Árabes Unidos,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1133.81685445574
"Yemen, Rep. del",China,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,489.292081191985
"Yemen, Rep. del",Arabia Saudita,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,304.426037500411
"Yemen, Rep. del",No especificados ,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,304.233404184074
"Yemen, Rep. del",Omán,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,257.94754199242
"Yemen, Rep. del",Mundo,2019,Combustibles,Exportación,Exportaciones (en millones de US $),0.01230768
"Yemen, Rep. del",Mundo,2019,Metales,Exportación,Exportaciones (en millones de US $),0.0201832965
"Yemen, Rep. del",Mundo,2019,Reino vegetal,Exportación,Exportaciones (en millones de US $),23.0452621888007
"Yemen, Rep. del",Mundo,2019,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.075892032
"Yemen, Rep. del",Mundo,2019,Bienes intermedios,Exportación,Exportaciones (en millones de US $),23.2116684050117
"Yemen, Rep. del",Mundo,2019,Minerales,Exportación,Exportaciones (en millones de US $),0.0020947032
"Yemen, Rep. del",Mundo,2019,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),
"Yemen, Rep. del",Mundo,2019,Bienes de capital,Exportación,Exportaciones (en millones de US $),0.013513473
"Yemen, Rep. del",Mundo,2019,Productos alimenticios,Exportación,Exportaciones (en millones de US $),0.3717052342884
"Yemen, Rep. del",Mundo,2019,Calzado,Exportación,Exportaciones (en millones de US $),
"Yemen, Rep. del",Mundo,2019,Bienes de consumo,Exportación,Exportaciones (en millones de US $),0.22828449611088
"Yemen, Rep. del",Mundo,2019,Cueros y pieles,Exportación,Exportaciones (en millones de US $),
"Yemen, Rep. del",Mundo,2019,Varios,Exportación,Exportaciones (en millones de US $),0.000473526
"Yemen, Rep. del",Mundo,2019,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.063664272
"Yemen, Rep. del",Mundo,2019,Transporte,Exportación,Exportaciones (en millones de US $),
"Yemen, Rep. del",Mundo,2019,Reino animal,Exportación,Exportaciones (en millones de US $),0.00131868
"Yemen, Rep. del",Mundo,2019,Madera,Exportación,Exportaciones (en millones de US $),0.16436098361088
"Yemen, Rep. del",Mundo,2019,Materias primas,Exportación,Exportaciones (en millones de US $),0.3256912972854
"Yemen, Rep. del",Mundo,2019,Productos químicos,Exportación,Exportaciones (en millones de US $),0.012777202008
"Yemen, Rep. del",Mundo,2019,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),0.013513473
"Yemen, Rep. del",Mundo,2019,Bienes intermedios,Importación,Importaciones (en millones de US $),1012.35072924618
"Yemen, Rep. del",Mundo,2019,Bienes de capital,Importación,Importaciones (en millones de US $),345.557275874107
"Yemen, Rep. del",Mundo,2019,Bienes de consumo,Importación,Importaciones (en millones de US $),2468.80823597207
"Yemen, Rep. del",Mundo,2019,Materias primas,Importación,Importaciones (en millones de US $),888.195612686496
"Yemen, Rep. del",Mundo,2019,Todos los productos,Exportación,Exportaciones (en millones de US $),23.783553271408
"Yemen, Rep. del",Mundo,2019,Todos los productos,Importación,Importaciones (en millones de US $),4715.95874122575
"Yemen, Rep. del",Mundo,2015,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),3368827.381
"Yemen, Rep. del",...,2015,...,Aranceles,N.o de acuerdos arancelarios,2
"Yemen, Rep. del",...,2019,...,Importación,Número de asociados importadores,121
"Yemen, Rep. del",...,2019,...,Importación,Número de productos importados,2737
"Yemen, Rep. del",...,2019,...,Exportación,Número de asociados exportadores,14
"Yemen, Rep. del",...,2019,...,Exportación,Número de productos exportados,62
"Yemen, Rep. del",...,2018,...,Others,Population,28498687
"Yemen, Rep. del",...,2019,...,Others,Ease of Doing Business Rank,187
"Yemen, Rep. del",...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0605565
"Yemen, Rep. del",...,2019,...,Others,Trading Across Borders Rank,188
"Yemen, Rep. del",...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0456168
"Yemen, Rep. del",...,2018,...,Others,CPIA Trade Ratings,2.5
"Yemen, Rep. del",...,,...,Others,Services Trade Restrictions Index - Over All,31.9
"Yemen, Rep. del","Egipto, Rep. Árabe de",2019,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,49.5817
"Yemen, Rep. del",Turquía,2019,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,28.0201
"Yemen, Rep. del",Omán,2019,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,10.5319
"Yemen, Rep. del",Sudán,2019,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,9.3435
"Yemen, Rep. del",Eritrea,2019,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,0.8758
"Yemen, Rep. del",Emiratos Árabes Unidos,2019,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,24.0421
