País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Sudáfrica,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,13571.1739152022
Sudáfrica,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,12974.206361964
Sudáfrica,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,9374.08747814387
Sudáfrica,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,8227.26375430356
Sudáfrica,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,8177.21830588791
Sudáfrica,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,19226.800900204
Sudáfrica,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,7544.99388646693
Sudáfrica,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,6576.13999718571
Sudáfrica,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5347.77769297352
Sudáfrica,Arabia Saudita,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4102.14099538352
Sudáfrica,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),6902.89261642861
Sudáfrica,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),1412.52591122512
Sudáfrica,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),52353.7192104874
Sudáfrica,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),10512.502104551
Sudáfrica,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),11630.2804200736
Sudáfrica,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),4038.9720525493
Sudáfrica,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),220.473597891823
Sudáfrica,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),18567.7086467073
Sudáfrica,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),244.093529867102
Sudáfrica,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),1336.70570071015
Sudáfrica,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),7524.36880087587
Sudáfrica,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),8302.68934772779
Sudáfrica,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),1997.13796301681
Sudáfrica,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),11346.1997759591
Sudáfrica,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),1178.91701163417
Sudáfrica,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),2202.69166686467
Sudáfrica,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),35947.4133610089
Sudáfrica,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),18622.0173069681
Sudáfrica,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),33848.8110392235
Sudáfrica,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),14259.8181643376
Sudáfrica,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),19763.6328301218
Sudáfrica,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),32335.0329696015
Sudáfrica,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),9500.80371997653
Sudáfrica,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),24346.0796482745
Sudáfrica,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),121321.278845567
Sudáfrica,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),93439.5633719347
Sudáfrica,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),41731960.1568501
Sudáfrica,...,2021,...,Aranceles,N.o de acuerdos arancelarios,11
Sudáfrica,...,2021,...,Importación,Número de asociados importadores,233
Sudáfrica,...,2021,...,Importación,Número de productos importados,4462
Sudáfrica,...,2021,...,Exportación,Número de asociados exportadores,216
Sudáfrica,...,2021,...,Exportación,Número de productos exportados,4449
Sudáfrica,...,2016,...,Others,LPI Score,3.775321
Sudáfrica,...,2019,...,Others,Ease of Doing Business Rank,84
Sudáfrica,...,2013,...,Others,No Of NTM Affected Products (HS 6 Digit),30
Sudáfrica,...,2013,...,Others,No Of NTM Measures,3
Sudáfrica,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0636017
Sudáfrica,...,2019,...,Others,Trading Across Borders Rank,145
Sudáfrica,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.052519
Sudáfrica,...,,...,Others,Services Trade Restrictions Index - Over All,34.5
Sudáfrica,...,2013,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0.5761581659
Sudáfrica,...,2018,...,Others,Population,57779622
Sudáfrica,...,2016,...,Others,LPI Rank,20
Sudáfrica,...,2013,...,Others,Temporary Trade Barriers in Effect - Simple Average,0.6199147701
Sudáfrica,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,11.1861
Sudáfrica,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,10.6941
Sudáfrica,Alemania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.7267
Sudáfrica,Japón,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.7814
Sudáfrica,Reino Unido,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.7401
Sudáfrica,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,20.5767
Sudáfrica,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.0747
Sudáfrica,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.0379
Sudáfrica,India,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.7232
Sudáfrica,Arabia Saudita,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.3902
Sudáfrica,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),5.6898
Sudáfrica,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),1.1643
Sudáfrica,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),43.153
Sudáfrica,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),3.3292
Sudáfrica,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.1817
Sudáfrica,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),15.3046
Sudáfrica,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),8.665
Sudáfrica,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),9.5863
Sudáfrica,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),6.202
Sudáfrica,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),6.8436
Sudáfrica,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),0.9717
Sudáfrica,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),1.8156
Sudáfrica,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),29.6299
Sudáfrica,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),15.3493
Sudáfrica,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),27.9001
Sudáfrica,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),11.7538
Sudáfrica,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.2012
Sudáfrica,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),1.1018
Sudáfrica,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),1.6462
Sudáfrica,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),9.3522
Sudáfrica,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),21.1512
Sudáfrica,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),34.6053
Sudáfrica,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),26.0554
Sudáfrica,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),10.1679
Sudáfrica,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),9.52279828309032
Sudáfrica,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),2.1261061948161
