País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Zambia,Suiza,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4249.44454309916
Zambia,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1911.09942417864
Zambia,Singapur,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1367.11736913452
Zambia,"Congo, Rep. Dem. del",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,981.689837506667
Zambia,Sudáfrica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,262.419537479117
Zambia,Sudáfrica,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2015.21206999565
Zambia,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,810.823528927335
Zambia,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,402.964900078059
Zambia,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,363.90326783292
Zambia,"Congo, Rep. Dem. del",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,297.735989027938
Zambia,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),408.139018510773
Zambia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),259.671640097924
Zambia,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),138.044391051097
Zambia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),161.813486465061
Zambia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),33.1434789130666
Zambia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),8786.2670466192
Zambia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),560.598431135851
Zambia,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),3.73530174001684
Zambia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),614.79923475865
Zambia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),4.53235892445351
Zambia,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),10.7028754518441
Zambia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),30.6466018661646
Zambia,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),32.289097497295
Zambia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),272.332135431494
Zambia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),134.327374805984
Zambia,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),69.334562422026
Zambia,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),35.1519952055564
Zambia,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),557.680650324296
Zambia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),146.089337194906
Zambia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),7938.84416265777
Zambia,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),2104.69011562291
Zambia,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),1959.06234503596
Zambia,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),594.535605845749
Zambia,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),1773.08002992115
Zambia,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),10101.3518583202
Zambia,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),6435.39451605574
Zambia,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),3302796.364
Zambia,...,2021,...,Aranceles,N.o de acuerdos arancelarios,6
Zambia,...,2021,...,Importación,Número de asociados importadores,180
Zambia,...,2021,...,Importación,Número de productos importados,3843
Zambia,...,2021,...,Exportación,Número de asociados exportadores,119
Zambia,...,2021,...,Exportación,Número de productos exportados,1953
Zambia,...,2018,...,Others,Population,17351822
Zambia,...,2019,...,Others,Ease of Doing Business Rank,85
Zambia,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1184496
Zambia,...,2018,...,Others,CPIA Trade Ratings,4
Zambia,...,2016,...,Others,LPI Score,2.429813
Zambia,...,2019,...,Others,Trading Across Borders Rank,155
Zambia,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0455071
Zambia,...,2016,...,Others,LPI Rank,114
Zambia,...,,...,Others,Services Trade Restrictions Index - Over All,21
Zambia,Suiza,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,42.0681
Zambia,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,18.9192
Zambia,Singapur,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,13.534
Zambia,"Congo, Rep. Dem. del",2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,9.7184
Zambia,Sudáfrica,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.5979
Zambia,Sudáfrica,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,31.3145
Zambia,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,12.5994
Zambia,India,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.2617
Zambia,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.6547
Zambia,"Congo, Rep. Dem. del",2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.6265
Zambia,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),1.6019
Zambia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.3281
Zambia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),86.9811
Zambia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),5.5497
Zambia,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.037
Zambia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),6.0863
Zambia,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),1.4462
Zambia,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),78.5919
Zambia,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),4.0404
Zambia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),2.5707
Zambia,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),1.3666
Zambia,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),0.6864
Zambia,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),0.348
Zambia,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),5.5209
Zambia,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),2.696
Zambia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),1.3298
Zambia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0449
Zambia,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),0.106
Zambia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.3034
Zambia,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),0.3197
