País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Zimbabwe,Sudáfrica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2923.0545653
Zimbabwe,Emiratos Árabes Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1725.32253754
Zimbabwe,Mozambique,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,508.64104081
Zimbabwe,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,256.06909047
Zimbabwe,No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,214.16980817
Zimbabwe,Sudáfrica,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3240.04449083
Zimbabwe,Singapur,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1044.33982795
Zimbabwe,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,919.744408169999
Zimbabwe,Mozambique,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,254.55614847
Zimbabwe,Mauricio,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,218.21242234
Zimbabwe,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),30.86507579
Zimbabwe,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),15.53260872
Zimbabwe,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),10.91338499
Zimbabwe,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),7.40753345
Zimbabwe,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),5.45637408
Zimbabwe,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),27.949265431
Zimbabwe,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),2274.10048698
Zimbabwe,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),11.73014497
Zimbabwe,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),32.65461983
Zimbabwe,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),881.5412331
Zimbabwe,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),1.56853653
Zimbabwe,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),185.600288701
Zimbabwe,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),80.29597075
Zimbabwe,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),100.73286282
Zimbabwe,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),3535.19626838
Zimbabwe,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),94.36102987
